Id,Sample #,Time,parent,voltage [V],temp [C],light,adc2 [V],adc3 [V],adc4 [V],adc5 [V],adc6 [V]
11,,9/24/2015 12:20:20 AM,0,3.0471,29.48,259,1.7335,0.86379,0.57784,0.5838,0.61359
13,,9/24/2015 12:20:20 AM,0,3.0471,28.286,378,0.67316,0.50934,0.48253,0.49444,0.51529
24,,9/24/2015 12:20:23 AM,20,2.9537,28.626,415,0.62653,0.45907,0.45907,0.47928,0.5428
54,,9/24/2015 12:20:26 AM,0,2.4037,1.0079,310,0.39945,0.35246,0.35481,0.3595,0.38535
53,,9/24/2015 12:20:27 AM,24,2.9192,21.736,724,1.1443,0.60782,0.49082,0.51365,0.7562
255,,9/24/2015 12:20:27 AM,0,2.9192,-273.15,801,1.4924,1.3012,1.0587,1.2898,1.4097
3,,9/24/2015 12:20:37 AM,0,2.9818,28.371,808,1.5244,0.99393,0.71994,0.53923,0.5334
20,,9/24/2015 12:20:42 AM,0,2.9261,28.796,470,0.74367,0.57205,0.4748,0.58636,0.75511
10,,9/24/2015 12:21:18 AM,0,2.8527,19.125,687,1.4473,1.0597,0.86447,0.87283,0.91187
11,,9/24/2015 12:21:18 AM,0,3.0471,29.48,259,1.7454,0.86677,0.57784,0.5838,0.61061
10,,9/24/2015 12:21:18 AM,0,2.8527,19.125,687,1.4473,1.0597,0.86447,0.87283,0.91187
13,,9/24/2015 12:21:19 AM,0,3.0323,28.286,378,0.67286,0.50983,0.48612,0.49798,0.50687
24,,9/24/2015 12:21:22 AM,20,2.9606,28.626,422,0.6367,0.46016,0.46016,0.47752,0.55856
54,,9/24/2015 12:21:24 AM,0,2.4037,0.90589,310,0.3971,0.35011,0.35481,0.35715,0.38535
255,,9/24/2015 12:21:25 AM,0,2.9261,-273.15,804,1.5016,1.31,1.0726,1.2986,1.4187
53,,9/24/2015 12:21:25 AM,24,2.9124,21.982,727,1.1587,0.62064,0.50107,0.50391,0.69181
3,,9/24/2015 12:21:36 AM,0,2.9818,28.201,812,1.5215,0.9881,0.71411,0.53631,0.52757
20,,9/24/2015 12:21:41 AM,0,2.9261,28.796,487,0.76655,0.57491,0.4748,0.58063,0.75225
11,,9/24/2015 12:22:17 AM,0,3.0471,29.566,257,1.7454,0.86974,0.57784,0.58678,0.61657
10,,9/24/2015 12:22:17 AM,0,2.8527,17,683,1.5086,1.0876,0.86447,0.85889,0.87841
13,,9/24/2015 12:22:18 AM,0,3.0323,28.456,376,0.6699,0.5128,0.48316,0.49798,0.51576
24,,9/24/2015 12:22:20 AM,20,2.9537,28.711,389,0.59189,0.4533,0.45907,0.47928,0.54858
54,,9/24/2015 12:22:22 AM,0,2.4037,0.90589,309,0.39475,0.35011,0.35481,0.35715,0.383
53,,9/24/2015 12:22:24 AM,24,2.9192,21.736,724,1.1414,0.60496,0.49653,0.50509,0.7562
53,,9/24/2015 12:22:25 AM,24,2.9192,21.736,724,1.1414,0.60496,0.49653,0.50509,0.7562
3,,9/24/2015 12:22:34 AM,0,2.9961,28.286,660,1.2418,0.81711,0.6531,0.52424,0.53009
20,,9/24/2015 12:22:39 AM,0,2.9261,28.796,471,0.74653,0.57491,0.47767,0.59494,0.76941
20,,9/24/2015 12:22:40 AM,0,2.9261,28.796,471,0.74653,0.57491,0.47767,0.59494,0.76941
20,,9/24/2015 12:22:41 AM,0,2.9261,28.796,471,0.74653,0.57491,0.47767,0.59494,0.76941
20,,9/24/2015 12:22:41 AM,0,2.9261,28.796,471,0.74653,0.57491,0.47767,0.59494,0.76941
20,,9/24/2015 12:22:43 AM,0,2.9261,28.796,471,0.74653,0.57491,0.47767,0.59494,0.76941
20,,9/24/2015 12:22:44 AM,0,2.9261,28.796,471,0.74653,0.57491,0.47767,0.59494,0.76941
10,,9/24/2015 12:23:14 AM,0,2.8527,16.178,684,1.5031,1.082,0.86447,0.85052,0.87562
11,,9/24/2015 12:23:16 AM,0,3.0471,29.48,288,1.7365,0.86081,0.57784,0.5838,0.62252
13,,9/24/2015 12:23:17 AM,0,3.0471,28.286,385,0.68507,0.51827,0.48551,0.5004,0.51827
24,,9/24/2015 12:23:19 AM,20,2.9606,28.711,388,0.59329,0.45726,0.46305,0.48042,0.56145
3,,9/24/2015 12:23:33 AM,0,2.9961,28.371,662,1.1978,0.77318,0.62088,0.52131,0.53009
20,,9/24/2015 12:23:37 AM,0,2.9261,28.881,465,0.73795,0.57205,0.4748,0.59494,0.76941
10,,9/24/2015 12:24:14 AM,0,2.8527,15.601,687,1.5058,1.0848,0.87004,0.84773,0.87562
13,,9/24/2015 12:24:14 AM,0,3.0471,28.201,388,0.68507,0.51232,0.48551,0.49742,0.51529
11,,9/24/2015 12:24:16 AM,0,3.0471,29.48,260,1.7276,0.85783,0.57487,0.5838,0.61359
24,,9/24/2015 12:24:19 AM,20,2.9537,28.796,367,0.56879,0.4533,0.46196,0.48217,0.56013
3,,9/24/2015 12:24:32 AM,0,2.9961,28.371,666,1.192,0.75268,0.60038,0.52131,0.53009
20,,9/24/2015 12:24:36 AM,0,2.9261,28.881,479,0.75797,0.57777,0.47767,0.5978,0.77227
10,,9/24/2015 12:25:12 AM,0,2.8527,15.766,696,1.5477,1.0987,0.87841,0.84495,0.87004
11,,9/24/2015 12:25:12 AM,0,3.0471,29.394,297,1.7335,0.86379,0.57784,0.5838,0.6255
13,,9/24/2015 12:25:13 AM,0,3.0323,28.116,374,0.66101,0.50983,0.48019,0.49798,0.51576
24,,9/24/2015 12:25:16 AM,20,2.9606,28.796,402,0.61065,0.45726,0.46016,0.48042,0.55566
24,,9/24/2015 12:25:16 AM,20,2.9606,28.796,402,0.61065,0.45726,0.46016,0.48042,0.55566
40,,9/24/2015 12:25:29 AM,13,2.7954,32.893,392,0.75146,0.56291,0.56291,0.65035,0.7378
3,,9/24/2015 12:25:31 AM,0,2.9961,28.371,667,1.1949,0.76146,0.6121,0.52131,0.53888
20,,9/24/2015 12:25:35 AM,0,2.9261,28.966,493,0.77799,0.58063,0.47767,0.64642,0.81232
20,,9/24/2015 12:25:36 AM,0,2.9261,28.966,493,0.77799,0.58063,0.47767,0.64642,0.81232
20,,9/24/2015 12:25:36 AM,0,2.9261,28.966,493,0.77799,0.58063,0.47767,0.64642,0.81232
20,,9/24/2015 12:25:37 AM,0,2.9261,28.966,493,0.77799,0.58063,0.47767,0.64642,0.81232
10,,9/24/2015 12:26:10 AM,0,2.8593,15.601,692,1.5316,1.09,0.86644,0.84408,0.86364
11,,9/24/2015 12:26:11 AM,0,3.0471,29.394,286,1.7067,0.85187,0.57189,0.58082,0.62252
13,,9/24/2015 12:26:11 AM,0,3.0471,28.116,398,0.69997,0.52125,0.48551,0.49742,0.51827
