Id,Sample #,Time,parent,voltage [V],temp,light,adc2 [V],adc3 [V],adc4 [V],adc5 [V],adc6 [V]
40,,9/24/2015 8:11:12 AM,20,2.7707,31.739,228,0.57418,0.50105,0.54168,0.64731,0.73939
3,,9/24/2015 8:11:16 AM,0,2.9889,29.652,469,1.2768,1.2154,1.1921,0.71874,0.56973
20,,9/24/2015 8:11:20 AM,0,2.9398,29.308,118,0.47416,0.56324,0.59198,1.0029,1.1092
54,,9/24/2015 8:11:32 AM,0,2.39,-273.15,459,0.64714,0.8504,0.79433,0.82937,0.87142
255,,9/24/2015 8:11:37 AM,0,2.9261,29.738,612,1.3615,1.35,1.167,0.94675,0.77513
10,,9/24/2015 8:11:56 AM,0,2.8398,29.566,430,0.77727,0.56907,0.46081,0.51078,0.54686
11,,9/24/2015 8:11:56 AM,0,3.0323,27.105,719,1.4228,0.74697,0.53355,0.54244,0.57208
13,,9/24/2015 8:11:57 AM,0,3.0397,25.685,846,1.352,0.70124,0.50513,0.49622,0.51404
24,,9/24/2015 8:12:00 AM,10,2.9398,29.308,225,0.46554,0.4368,0.45404,0.47416,0.51152
53,,9/24/2015 8:12:03 AM,24,2.8724,23.21,14,0.44644,0.44082,0.46609,0.53067,0.73002
40,,9/24/2015 8:12:09 AM,20,2.7707,31.739,228,0.56606,0.49835,0.53355,0.64731,0.73939
3,,9/24/2015 8:12:13 AM,0,2.9889,29.652,468,1.2739,1.2125,1.1862,0.7129,0.56973
20,,9/24/2015 8:12:18 AM,0,2.9261,29.308,121,0.46908,0.56061,0.58636,0.99537,1.0983
54,,9/24/2015 8:12:30 AM,0,2.3946,-273.15,434,0.62731,0.84266,0.79116,0.82861,0.87075
255,,9/24/2015 8:12:34 AM,0,2.9261,29.738,577,1.2928,1.3186,1.1441,0.93245,0.76941
13,,9/24/2015 8:12:55 AM,0,3.0397,25.685,832,1.3252,0.68341,0.50513,0.49622,0.51404
10,,9/24/2015 8:12:55 AM,0,2.8398,29.566,412,0.74951,0.56907,0.46081,0.51078,0.54964
11,,9/24/2015 8:12:56 AM,0,3.0323,27.105,713,1.405,0.74104,0.53058,0.54244,0.57208
24,,9/24/2015 8:12:58 AM,10,2.9398,29.308,201,0.45117,0.4368,0.45117,0.47416,0.51152
53,,9/24/2015 8:13:03 AM,24,2.8593,23.867,12,0.45278,0.43042,0.46676,0.54781,0.73228
40,,9/24/2015 8:13:09 AM,20,2.7707,31.739,228,0.56335,0.50105,0.54168,0.64731,0.73939
3,,9/24/2015 8:13:13 AM,0,2.9889,29.652,455,1.2417,1.1804,1.1599,0.69829,0.56681
20,,9/24/2015 8:13:17 AM,0,2.9261,29.308,112,0.46622,0.56061,0.58922,0.99823,1.1041
54,,9/24/2015 8:13:29 AM,0,2.39,-273.15,422,0.6121,0.83404,0.78498,0.8247,0.86675
255,,9/24/2015 8:13:33 AM,0,2.9261,29.738,594,1.33,1.33,1.1584,0.94103,0.77513
10,,9/24/2015 8:13:53 AM,0,2.8398,29.566,383,0.70509,0.55519,0.45803,0.508,0.54964
13,,9/24/2015 8:13:57 AM,0,3.0397,25.685,791,1.2628,0.65667,0.49919,0.50216,0.51404
24,,9/24/2015 8:13:57 AM,10,2.9398,29.308,171,0.43968,0.4368,0.45404,0.47703,0.52014
53,,9/24/2015 8:14:00 AM,24,2.8724,24.444,7,0.44644,0.4324,0.46609,0.55313,0.73002
40,,9/24/2015 8:14:07 AM,20,2.7707,31.827,226,0.59043,0.5146,0.54439,0.65543,0.7421
3,,9/24/2015 8:14:11 AM,0,2.9889,29.652,373,1.0401,1.0138,1.0138,0.63109,0.54928
20,,9/24/2015 8:14:16 AM,0,2.9261,29.308,69,0.4462,0.55775,0.58922,1.0011,1.1012
54,,9/24/2015 8:14:28 AM,0,2.39,-273.15,370,0.56537,0.81535,0.7733,0.81769,0.86208
255,,9/24/2015 8:14:32 AM,0,2.9261,29.738,532,1.1956,1.2671,1.1184,0.90671,0.76083
10,,9/24/2015 8:14:51 AM,0,2.8398,29.566,351,0.66068,0.54964,0.45803,0.51078,0.54964
11,,9/24/2015 8:14:52 AM,0,3.0323,27.105,614,1.2509,0.66693,0.52466,0.5454,0.57208
13,,9/24/2015 8:14:52 AM,0,3.0397,25.685,770,1.2301,0.63587,0.49622,0.50216,0.51404
24,,9/24/2015 8:14:55 AM,10,2.9398,29.308,136,0.42243,0.43393,0.45404,0.47703,0.51439
53,,9/24/2015 8:14:59 AM,24,2.8724,24.774,5,0.44644,0.4324,0.46328,0.54752,0.72441
40,,9/24/2015 8:15:06 AM,20,2.7707,31.827,226,0.60939,0.52814,0.55522,0.65272,0.7421
3,,9/24/2015 8:15:10 AM,0,2.9889,29.652,371,1.0343,1.008,1.008,0.63109,0.54928
